Suppliers,Candy,Status
Sconza,Large Jawbreakers.doc,
,Lavaballs.doc,
Claey's,Lemon Drops.doc,sent in e-mail
Gustafs,Licorice Allsorts.doc,sent in e-mail
Jelly Belly,Licorice Bridge Mix.doc,
Gustaf's?,Licorice Caramels.doc,
Jelly Belly,Licorice Jelly Bellys.doc,
Gustaf,Licorice Money (Salted)-Garvy.doc,
Gimbals,Licorice Nibbles-Goelitz.doc,
Jelly Belly,Licorice Pastels.doc,
Gimbals,Licorice Scottie Dogs.doc,
taffy Town,Licorice Swirl Taffy.doc,
Taffy Town,Maple Bacon Taffy Half Pound.doc,
,Mary Janes.doc,e-mailed
,Milk Chocolate Honeycomb Chips.doc,
Delete,Milk Chocolate Santas.doc,
Thompson,Milk Chocolate Sport Balls.doc,e-mailed
Trolli,Mini Sour Bright Crawlers.doc,
Leave as is,Mixed Nut Brittle-Big Label.doc,
Leave as is,Mug Disclaimer (Not dishwasher safe).doc,
Taffy Town,Neopolitan Salt Water Taffy.doc,
Delete,Nonpareils-Dark Chocolate.doc,
Delete,Nonpareils-Milk Chocolate.doc,
Kenny's,Old Fashion Licorice Laces.doc,
King Leo,Old Fashion Peppermint Puffs.doc,
King Leo,Old Fashion Soft Peppermints quarter lb.doc,
King Leo,Old Fashion Soft Peppermints.doc,
Kenny's,Orange  Juicy Twists.doc,
Gimbals,orange _ Cream Chews.doc,
Marich,Pastel Chocolate Cherries.doc,
Kenny's,Peach Juicy Twists.doc,
Leave as is,Peanut Brittle-Big Labels.doc,
Delete,Peanut Butter Chocolate Pretzels.doc,
Delete,Peanut Butter Cookies.doc,
Delete,Peanut Butter Kringles (Garvey $3.95).doc,
Delete,Peanut Butter Malt Balls.doc,
Taffy Town,Peanut Butter Taffy.doc,
Taffy Town,Peppermint Kissing Taffy.doc,
Taffy Town,Peppermint Salt Water Taffy nibbler.doc,
Jelly Belly,Petite Sour Hearts.doc,
,Pimento Olive Chocolate Almonds.doc,
,Pink Grapefruit Gummi Slices.doc,
Sconza,Psychedelic Sour Jawbreaker.doc,
,Pumpkin Pie Almonds.doc,
,Pumpkin Pie Taffy.doc,
Dorval,Rainbow Sour Belts.doc,
Jelly Belly,Raspberries _ Blackberries.doc,
Taffy Town,Raspberry Lemonaid Taffy.doc,
Kenny's Licorice,Red Licorice Laces.doc,
,Red Licorice Wheels.doc,
,Red Swedish Fish.doc,e-mailed
Jelly Belly,Reindeer Corn.doc,
Leave as is,Roasted Salted Almonds.doc,
Leave as is,Roasted Salted Macadamia - 30 per page.doc,
,Rock Candy quarter pound.doc,
,Rock Candy Swizzle Sticks.doc,
,Rock Candy-half pound.doc,
Dryden & Palmer,Rock Candy.doc,
,Root Beer Barrels.doc,
,Root Beer Floats.doc,
Claeys,Rootbeer Drops.doc,
Koppers,Rum Cordials.doc,e-mailed
,Runts.doc,
,Sesame Honey Crunch.doc,
leave as is,Sierra Premium 1 pound.doc,
Sconza,Small Jawbreakers.doc,
,Smooth _ Melty Kisses.doc,
,Soft Licorice.doc,
,Sour Bright Crawlers.doc,
,Sour Bright Tropical Fish.doc,
,Sour Bunny Corn.doc,
,Sour Cola Bottles.doc,
,Sour Fruit Spaghetti.doc,
,Sour Green Gummi Brains.doc,
,Sour Gummi Bears.doc,
,Sour Gummi Brains.doc,
,Sour Gummi Eggs.doc,
,Sour Gummi Santas.doc,
,Sour Gummi Worms.doc,
,Sour Jelly Belly Mix.doc,
,Sour Lips.doc,
,Sour Patch Kids.doc,
,Sour Patch Tropical Fish.doc,
,Sour Peach Hearts.doc,
,Sour Rainbow Nibbles.doc,
,Sour Smoochi Lips.doc,
,Sour Starz.doc,
,Sour Tummy Bears.doc,
,Sour Worms.doc,
,SourTrout.doc,
,Speckled Chocolate Malted Eggs.doc,
,strawberries _ Blueberries.doc,
,Strawberry Licorice Wheels (Haribo).doc,
,Sugar Free  Christmas Peppermint Taffy (Wertz).doc,
,Sugar Free  Jordan Almonds(Sconza).doc,
,Sugar Free  Licorice Swirls (Wertz).doc,
,Sugar Free  Mocha Fudge Swirls (Wertz).doc,
,Sugar Free Almonds (Garvey).doc,
,Sugar Free Assorted Caramel Nougat Swirls.doc,
,Sugar Free Assorted Cookies-Ass_t #2.doc,
,Sugar Free Assorted Cookies.doc,
,Sugar Free Assorted Fruit Buttons.doc,
,Sugar Free Assorted Fruit Chews (Gimbals).doc,
,Sugar Free Assorted Fruit Taffy.doc,
,Sugar Free Assorted Taffy.doc,
,Sugar Free Bridge Mix (Garvey).doc,
,Sugar Free Candy Sticks.doc,
,Sugar Free Cherry Chews (Gimbals).doc,
,Sugar Free Chocolate Fudge Chews (Gimbals).doc,
,Sugar Free Chocolate Gummi Bears.doc,
,Sugar Free Chocolate Nougat Caramel Swirls (Wertz).doc,
,Sugar Free Egg Nog Taffiy.doc,
,Sugar Free Gum Drops.doc,
,Sugar Free Gummi Bears.doc,
,Sugar Free Licorice Chews (Gimbals).doc,
,Sugar Free Milk Choc Balls (Madelaine).doc,
,Sugar Free Milk Chocolate Pretzels.doc,
,Sugar Free Mint Chews(Garvey).doc,
,Sugar Free Orange _n Cream Chews (Gimbals).doc,
,Sugar Free Peanuts (Garvey).doc,
,Sugar Free Pecan Caramel Pattys (Garvey-Asher).doc,
,Sugar Free Sour Worms (Garvey-Harmony).doc,
,Sugar Free Vanilla Caramel Nougat Swirls.doc,
,Sugar Plums.doc,
,Sugarfree Assorted Taffy.doc,
,Sugarfree Jelly Bellys.doc,
,Sugarfree Tummy Bears.doc,
,Suger free Rootbeer.doc,
,Sunny Seed Drops.doc,
,Super Gummi Bears (Trolli).doc,
,Super Hero Gummis.doc,
,Super Sour Bears.doc,
,Swedish Fish Aqua Life.doc,
,Swedish Fish.doc,
,Sweet _ Salty Salmiak Rocks.doc,
,Sweet Peach _ Sour Apple Rings.doc,
,Swiss Petite Fruits.doc,
,Techno Gummi Bears.doc,
,Tender Hearts.doc,
,Three Layer Caramels.doc,
,Three Rivers Blend Coffee.doc,
,Unbearably Hot Cinnamon Bears.doc,
,Valentine Jelly Bellys.doc,
,Vanilla Taffy half pound.doc,
,Very Cherry Taffy.doc,
,walnettos quarter pound.doc,
,Walnettos.doc,
,Watermelon Salt Water Taffy.doc,
,White Chocolate Chips.doc,
,White Chocolate Eggs.doc,
,White Chocolate Fried Eggs.doc,
Nassau,World_s Smallest Jawbreakers.doc,sent text
,World_s Smallest Rainbow Jawbreakers.doc,
,Yogurt Pretzels.doc,
